Time,Wealth,Action,Q_Value
0,40.0,0.0,0.0
0,40.0,0.1,0.0
0,40.0,0.2,0.0
0,40.0,0.3,0.0
0,40.0,0.4,0.0
0,40.0,0.5,0.0
0,40.0,0.6,0.0
0,40.0,0.7,0.0
0,40.0,0.8,0.0
0,40.0,0.9,0.0
0,40.0,1.0,0.0
0,40.802675585284284,0.0,0.0
0,40.802675585284284,0.1,0.0
0,40.802675585284284,0.2,0.0
0,40.802675585284284,0.3,0.0
0,40.802675585284284,0.4,0.0
0,40.802675585284284,0.5,0.0
0,40.802675585284284,0.6,0.0
0,40.802675585284284,0.7,0.0
0,40.802675585284284,0.8,0.0
0,40.802675585284284,0.9,0.0
0,40.802675585284284,1.0,0.0
0,41.60535117056856,0.0,0.0
0,41.60535117056856,0.1,0.0
0,41.60535117056856,0.2,0.0
0,41.60535117056856,0.3,0.0
0,41.60535117056856,0.4,0.0
0,41.60535117056856,0.5,0.0
0,41.60535117056856,0.6,0.0
0,41.60535117056856,0.7,0.0
0,41.60535117056856,0.8,0.0
0,41.60535117056856,0.9,0.0
0,41.60535117056856,1.0,0.0
0,42.408026755852845,0.0,0.0
0,42.408026755852845,0.1,0.0
0,42.408026755852845,0.2,0.0
0,42.408026755852845,0.3,0.0
0,42.408026755852845,0.4,0.0
0,42.408026755852845,0.5,0.0
0,42.408026755852845,0.6,0.0
0,42.408026755852845,0.7,0.0
0,42.408026755852845,0.8,0.0
0,42.408026755852845,0.9,0.0
0,42.408026755852845,1.0,0.0
0,43.21070234113712,0.0,0.0
0,43.21070234113712,0.1,0.0
0,43.21070234113712,0.2,0.0
0,43.21070234113712,0.3,0.0
0,43.21070234113712,0.4,0.0
0,43.21070234113712,0.5,0.0
0,43.21070234113712,0.6,0.0
0,43.21070234113712,0.7,0.0
0,43.21070234113712,0.8,0.0
0,43.21070234113712,0.9,0.0
0,43.21070234113712,1.0,0.0
0,44.013377926421406,0.0,0.0
0,44.013377926421406,0.1,0.0
0,44.013377926421406,0.2,0.0
0,44.013377926421406,0.3,0.0
0,44.013377926421406,0.4,0.0
0,44.013377926421406,0.5,0.0
0,44.013377926421406,0.6,0.0
0,44.013377926421406,0.7,0.0
0,44.013377926421406,0.8,0.0
0,44.013377926421406,0.9,0.0
0,44.013377926421406,1.0,0.0
0,44.81605351170569,0.0,0.0
0,44.81605351170569,0.1,0.0
0,44.81605351170569,0.2,0.0
0,44.81605351170569,0.3,0.0
0,44.81605351170569,0.4,0.0
0,44.81605351170569,0.5,0.0
0,44.81605351170569,0.6,0.0
0,44.81605351170569,0.7,0.0
0,44.81605351170569,0.8,0.0
0,44.81605351170569,0.9,0.0
0,44.81605351170569,1.0,0.0
0,45.618729096989966,0.0,0.0
0,45.618729096989966,0.1,0.0
0,45.618729096989966,0.2,0.0
0,45.618729096989966,0.3,0.0
0,45.618729096989966,0.4,0.0
0,45.618729096989966,0.5,0.0
0,45.618729096989966,0.6,0.0
0,45.618729096989966,0.7,0.0
0,45.618729096989966,0.8,0.0
0,45.618729096989966,0.9,0.0
0,45.618729096989966,1.0,0.0
0,46.42140468227425,0.0,0.0
0,46.42140468227425,0.1,0.0
0,46.42140468227425,0.2,0.0
0,46.42140468227425,0.3,0.0
0,46.42140468227425,0.4,0.0
0,46.42140468227425,0.5,0.0
0,46.42140468227425,0.6,0.0
0,46.42140468227425,0.7,0.0
0,46.42140468227425,0.8,0.0
0,46.42140468227425,0.9,0.0
0,46.42140468227425,1.0,0.0
0,47.22408026755853,0.0,0.0
0,47.22408026755853,0.1,0.0
0,47.22408026755853,0.2,0.0
0,47.22408026755853,0.3,0.0
0,47.22408026755853,0.4,0.0
0,47.22408026755853,0.5,0.0
0,47.22408026755853,0.6,0.0
0,47.22408026755853,0.7,0.0
0,47.22408026755853,0.8,0.0
0,47.22408026755853,0.9,0.0
0,47.22408026755853,1.0,0.0
0,48.02675585284281,0.0,0.0
0,48.02675585284281,0.1,0.0
0,48.02675585284281,0.2,0.0
0,48.02675585284281,0.3,0.0
0,48.02675585284281,0.4,0.0
0,48.02675585284281,0.5,0.0
0,48.02675585284281,0.6,0.0
0,48.02675585284281,0.7,0.0
0,48.02675585284281,0.8,0.0
0,48.02675585284281,0.9,0.0
0,48.02675585284281,1.0,0.0
0,48.82943143812709,0.0,0.0
0,48.82943143812709,0.1,0.0
0,48.82943143812709,0.2,0.0
0,48.82943143812709,0.3,0.0
0,48.82943143812709,0.4,0.0
0,48.82943143812709,0.5,0.0
0,48.82943143812709,0.6,0.0
0,48.82943143812709,0.7,0.0
0,48.82943143812709,0.8,0.0
0,48.82943143812709,0.9,0.0
0,48.82943143812709,1.0,0.0
0,49.63210702341137,0.0,0.0
0,49.63210702341137,0.1,0.0
0,49.63210702341137,0.2,0.0
0,49.63210702341137,0.3,0.0
0,49.63210702341137,0.4,0.0
0,49.63210702341137,0.5,0.0
0,49.63210702341137,0.6,0.0
0,49.63210702341137,0.7,0.0
0,49.63210702341137,0.8,0.0
0,49.63210702341137,0.9,0.0
0,49.63210702341137,1.0,0.0
0,50.434782608695656,0.0,0.0
0,50.434782608695656,0.1,0.0
0,50.434782608695656,0.2,0.0
0,50.434782608695656,0.3,0.0
0,50.434782608695656,0.4,0.0
0,50.434782608695656,0.5,0.0
0,50.434782608695656,0.6,0.0
0,50.434782608695656,0.7,0.0
0,50.434782608695656,0.8,0.0
0,50.434782608695656,0.9,0.0
0,50.434782608695656,1.0,0.0
0,51.23745819397993,0.0,0.0
0,51.23745819397993,0.1,0.0
0,51.23745819397993,0.2,0.0
0,51.23745819397993,0.3,0.0
0,51.23745819397993,0.4,0.0
0,51.23745819397993,0.5,0.0
0,51.23745819397993,0.6,0.0
0,51.23745819397993,0.7,0.0
0,51.23745819397993,0.8,0.0
0,51.23745819397993,0.9,0.0
0,51.23745819397993,1.0,0.0
0,52.04013377926422,0.0,0.0
0,52.04013377926422,0.1,0.0
0,52.04013377926422,0.2,0.0
0,52.04013377926422,0.3,0.0
0,52.04013377926422,0.4,0.0
0,52.04013377926422,0.5,0.0
0,52.04013377926422,0.6,0.0
0,52.04013377926422,0.7,0.0
0,52.04013377926422,0.8,0.0
0,52.04013377926422,0.9,0.0
0,52.04013377926422,1.0,0.0
0,52.84280936454849,0.0,0.0
0,52.84280936454849,0.1,0.0
0,52.84280936454849,0.2,0.0
0,52.84280936454849,0.3,0.0
0,52.84280936454849,0.4,0.0
0,52.84280936454849,0.5,0.0
0,52.84280936454849,0.6,0.0
0,52.84280936454849,0.7,0.0
0,52.84280936454849,0.8,0.0
0,52.84280936454849,0.9,0.0
0,52.84280936454849,1.0,0.0
0,53.64548494983278,0.0,0.0
0,53.64548494983278,0.1,0.0
0,53.64548494983278,0.2,0.0
0,53.64548494983278,0.3,0.0
0,53.64548494983278,0.4,0.0
0,53.64548494983278,0.5,0.0
0,53.64548494983278,0.6,0.0
0,53.64548494983278,0.7,0.0
0,53.64548494983278,0.8,0.0
0,53.64548494983278,0.9,0.0
0,53.64548494983278,1.0,0.0
0,54.448160535117054,0.0,0.0
0,54.448160535117054,0.1,0.0
0,54.448160535117054,0.2,0.0
0,54.448160535117054,0.3,0.0
0,54.448160535117054,0.4,0.0
0,54.448160535117054,0.5,0.0
0,54.448160535117054,0.6,0.0
0,54.448160535117054,0.7,0.0
0,54.448160535117054,0.8,0.0
0,54.448160535117054,0.9,0.0
0,54.448160535117054,1.0,0.0
0,55.25083612040134,0.0,0.0
0,55.25083612040134,0.1,0.0
0,55.25083612040134,0.2,0.0
0,55.25083612040134,0.3,0.0
0,55.25083612040134,0.4,0.0
0,55.25083612040134,0.5,0.0
0,55.25083612040134,0.6,0.0
0,55.25083612040134,0.7,0.0
0,55.25083612040134,0.8,0.0
0,55.25083612040134,0.9,0.0
0,55.25083612040134,1.0,0.0
0,56.05351170568562,0.0,0.0
0,56.05351170568562,0.1,0.0
0,56.05351170568562,0.2,0.0
0,56.05351170568562,0.3,0.0
0,56.05351170568562,0.4,0.0
0,56.05351170568562,0.5,0.0
0,56.05351170568562,0.6,0.0
0,56.05351170568562,0.7,0.0
0,56.05351170568562,0.8,0.0
0,56.05351170568562,0.9,0.0
0,56.05351170568562,1.0,0.0
0,56.8561872909699,0.0,0.0
0,56.8561872909699,0.1,0.0
0,56.8561872909699,0.2,0.0
0,56.8561872909699,0.3,0.0
0,56.8561872909699,0.4,0.0
0,56.8561872909699,0.5,0.0
0,56.8561872909699,0.6,0.0
0,56.8561872909699,0.7,0.0
0,56.8561872909699,0.8,0.0
0,56.8561872909699,0.9,0.0
0,56.8561872909699,1.0,0.0
0,57.658862876254176,0.0,0.0
0,57.658862876254176,0.1,0.0
0,57.658862876254176,0.2,0.0
0,57.658862876254176,0.3,0.0
0,57.658862876254176,0.4,0.0
0,57.658862876254176,0.5,0.0
0,57.658862876254176,0.6,0.0
0,57.658862876254176,0.7,0.0
0,57.658862876254176,0.8,0.0
0,57.658862876254176,0.9,0.0
0,57.658862876254176,1.0,0.0
0,58.46153846153847,0.0,0.0
0,58.46153846153847,0.1,0.0
0,58.46153846153847,0.2,0.0
0,58.46153846153847,0.3,0.0
0,58.46153846153847,0.4,0.0
0,58.46153846153847,0.5,0.0
0,58.46153846153847,0.6,0.0
0,58.46153846153847,0.7,0.0
0,58.46153846153847,0.8,0.0
0,58.46153846153847,0.9,0.0
0,58.46153846153847,1.0,0.0
0,59.264214046822744,0.0,0.0
0,59.264214046822744,0.1,0.0
0,59.264214046822744,0.2,0.0
0,59.264214046822744,0.3,0.0
0,59.264214046822744,0.4,0.0
0,59.264214046822744,0.5,0.0
0,59.264214046822744,0.6,0.0
0,59.264214046822744,0.7,0.0
0,59.264214046822744,0.8,0.0
0,59.264214046822744,0.9,0.0
0,59.264214046822744,1.0,0.0
0,60.06688963210702,0.0,0.0
0,60.06688963210702,0.1,0.0
0,60.06688963210702,0.2,0.0
0,60.06688963210702,0.3,0.0
0,60.06688963210702,0.4,0.0
0,60.06688963210702,0.5,0.0
0,60.06688963210702,0.6,0.0
0,60.06688963210702,0.7,0.0
0,60.06688963210702,0.8,0.0
0,60.06688963210702,0.9,0.0
0,60.06688963210702,1.0,0.0
0,60.869565217391305,0.0,0.0
0,60.869565217391305,0.1,0.0
0,60.869565217391305,0.2,0.0
0,60.869565217391305,0.3,0.0
0,60.869565217391305,0.4,0.0
0,60.869565217391305,0.5,0.0
0,60.869565217391305,0.6,0.0
0,60.869565217391305,0.7,0.0
0,60.869565217391305,0.8,0.0
0,60.869565217391305,0.9,0.0
0,60.869565217391305,1.0,0.0
0,61.67224080267559,0.0,0.0
0,61.67224080267559,0.1,0.0
0,61.67224080267559,0.2,0.0
0,61.67224080267559,0.3,0.0
0,61.67224080267559,0.4,0.0
0,61.67224080267559,0.5,0.0
0,61.67224080267559,0.6,0.0
0,61.67224080267559,0.7,0.0
0,61.67224080267559,0.8,0.0
0,61.67224080267559,0.9,0.0
0,61.67224080267559,1.0,0.0
0,62.474916387959865,0.0,0.0
0,62.474916387959865,0.1,0.0
0,62.474916387959865,0.2,0.0
0,62.474916387959865,0.3,0.0
0,62.474916387959865,0.4,0.0
0,62.474916387959865,0.5,0.0
0,62.474916387959865,0.6,0.0
0,62.474916387959865,0.7,0.0
0,62.474916387959865,0.8,0.0
0,62.474916387959865,0.9,0.0
0,62.474916387959865,1.0,0.0
0,63.27759197324415,0.0,0.0
0,63.27759197324415,0.1,0.0
0,63.27759197324415,0.2,0.0
0,63.27759197324415,0.3,0.0
0,63.27759197324415,0.4,0.0
0,63.27759197324415,0.5,0.0
0,63.27759197324415,0.6,0.0
0,63.27759197324415,0.7,0.0
0,63.27759197324415,0.8,0.0
0,63.27759197324415,0.9,0.0
0,63.27759197324415,1.0,0.0
0,64.08026755852843,0.0,0.0
0,64.08026755852843,0.1,0.0
0,64.08026755852843,0.2,0.0
0,64.08026755852843,0.3,0.0
0,64.08026755852843,0.4,0.0
0,64.08026755852843,0.5,0.0
0,64.08026755852843,0.6,0.0
0,64.08026755852843,0.7,0.0
0,64.08026755852843,0.8,0.0
0,64.08026755852843,0.9,0.0
0,64.08026755852843,1.0,0.0
0,64.88294314381271,0.0,0.0
0,64.88294314381271,0.1,0.0
0,64.88294314381271,0.2,0.0
0,64.88294314381271,0.3,0.0
0,64.88294314381271,0.4,0.0
0,64.88294314381271,0.5,0.0
0,64.88294314381271,0.6,0.0
0,64.88294314381271,0.7,0.0
0,64.88294314381271,0.8,0.0
0,64.88294314381271,0.9,0.0
0,64.88294314381271,1.0,0.0
0,65.68561872909699,0.0,0.0
0,65.68561872909699,0.1,0.0
0,65.68561872909699,0.2,0.0
0,65.68561872909699,0.3,0.0
0,65.68561872909699,0.4,0.0
0,65.68561872909699,0.5,0.0
0,65.68561872909699,0.6,0.0
0,65.68561872909699,0.7,0.0
0,65.68561872909699,0.8,0.0
0,65.68561872909699,0.9,0.0
0,65.68561872909699,1.0,0.0
0,66.48829431438128,0.0,0.0
0,66.48829431438128,0.1,0.0
0,66.48829431438128,0.2,0.0
0,66.48829431438128,0.3,0.0
0,66.48829431438128,0.4,0.0
0,66.48829431438128,0.5,0.0
0,66.48829431438128,0.6,0.0
0,66.48829431438128,0.7,0.0
0,66.48829431438128,0.8,0.0
0,66.48829431438128,0.9,0.0
0,66.48829431438128,1.0,0.0
0,67.29096989966555,0.0,0.0
0,67.29096989966555,0.1,0.0
0,67.29096989966555,0.2,0.0
0,67.29096989966555,0.3,0.0
0,67.29096989966555,0.4,0.0
0,67.29096989966555,0.5,0.0
0,67.29096989966555,0.6,0.0
0,67.29096989966555,0.7,0.0
0,67.29096989966555,0.8,0.0
0,67.29096989966555,0.9,0.0
0,67.29096989966555,1.0,0.0
0,68.09364548494983,0.0,0.0
0,68.09364548494983,0.1,0.0
0,68.09364548494983,0.2,0.0
0,68.09364548494983,0.3,0.0
0,68.09364548494983,0.4,0.0
0,68.09364548494983,0.5,0.0
0,68.09364548494983,0.6,0.0
0,68.09364548494983,0.7,0.0
0,68.09364548494983,0.8,0.0
0,68.09364548494983,0.9,0.0
0,68.09364548494983,1.0,0.0
0,68.89632107023411,0.0,0.0
0,68.89632107023411,0.1,0.0
0,68.89632107023411,0.2,0.0
0,68.89632107023411,0.3,0.0
0,68.89632107023411,0.4,0.0
0,68.89632107023411,0.5,0.0
0,68.89632107023411,0.6,0.0
0,68.89632107023411,0.7,0.0
0,68.89632107023411,0.8,0.0
0,68.89632107023411,0.9,0.0
0,68.89632107023411,1.0,0.0
0,69.6989966555184,0.0,0.0
0,69.6989966555184,0.1,0.0
0,69.6989966555184,0.2,0.0
0,69.6989966555184,0.3,0.0
0,69.6989966555184,0.4,0.0
0,69.6989966555184,0.5,0.0
0,69.6989966555184,0.6,0.0
0,69.6989966555184,0.7,0.0
0,69.6989966555184,0.8,0.0
0,69.6989966555184,0.9,0.0
0,69.6989966555184,1.0,0.0
0,70.50167224080268,0.0,0.0
0,70.50167224080268,0.1,0.0
0,70.50167224080268,0.2,0.0
